,title,casts,description
50,大醉侠,"郑佩佩,岳华,杨志卿,陈鸿烈",简介：江湖败类“索命五虎”作恶多端，杀人如麻。其老大被两江总督张大人俘获，不日问斩。其余四虎铤而走险，劫走张大人之子张步青以作要挟。张步青之妹张熙燕（郑佩佩 饰）武艺...详情
51,帕克,"杰森·斯坦森,詹妮弗·洛佩兹,尼克·诺特,迈克尔·切克利斯,小克利夫顿·克林斯,维德尔·皮尔斯,艾玛·布斯",简介：自诩行侠仗义、绝不伤害人命的劫匪帕克（杰森·斯坦森 Jason Statham 饰）带领同伙洗劫俄亥俄一座游乐场，谁知最后关头却遭背叛，身受重伤，命悬一线。侥幸...详情
52,复仇者联盟4：终局之战,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁弗洛,克里斯·海姆斯沃斯,斯嘉丽·约翰逊,杰瑞米·雷纳,保罗·路德,凯伦·吉兰,唐·钱德尔,布丽·拉尔森,布莱德利·库珀,泰莎·汤普森,汤姆·赫兰德,伊丽莎白·奥尔森,本尼迪克特·康伯巴奇,蒂尔达·斯文顿,格温妮斯·帕特洛,蕾妮·罗素,约翰·斯拉特里,查德维克·博斯曼,安东尼·麦凯,塞巴斯蒂安·斯坦,克里斯·帕拉特,汤姆·希德勒斯顿,佐伊·索尔达娜,丹娜·奎里拉,本尼迪克特·王,庞·克莱门捷夫,戴夫·巴蒂斯塔,利蒂希娅·赖特,伊万杰琳·莉莉,乔恩·费儒,海莉·阿特维",简介：一声响指，宇宙间半数生命灰飞烟灭。几近绝望的复仇者们在惊奇队长（布丽·拉尔森 Brie Larson 饰）的帮助下找到灭霸（乔什·布洛林 Josh Brolin...详情
53,出云之月,"黄政民,车胜元,韩智慧,白成铉,金昌完,宋永彰,郑圭洙,申正根,柳承龙,梁英祖,金宝妍,金相浩",简介：十六世纪末，东场西场在朝廷上争权的斗争日趋白热，组建“大同契”抵御外敌的于历卷入其中，因谋逆罪被处以极刑，大同契一案的幕后主使韩申均有庶子韩坚子（白成铉 饰），...详情
54,换屋惊魂,"卡琳·瓦纳斯,埃里克·坎通纳,Mehdi,Nebbou,奥雷利安·雷克因,Maxim,Roy",简介：主人公本来是想通过尝试换下生活方式来打破目前的人生困境，却不料被别有用心的人设计陷入了一个人生困局中。当她受到陌生人鼓动尝试去交友网站上换屋之后，第一天一切都是...详情
55,扑克之夜,"吉安卡罗·埃斯波西托,朗·普尔曼,博·米尔乔夫,朗·埃达德",简介：故事的主角是年轻警探杰特与他的女友。作为一个印第安纳州的菜鸟警察，杰特照例前去参加“扑克之夜”。在“扑克之夜”上，他与州内几位最好的警官一起打扑克，警官们把他们...详情
56,牙狼：红色安魂曲,"小西辽生,松山メアリ,斋藤洋介,倉貫匡弘,影山ヒロノブ,津田寛治,中尾彬,笠原紳司,江口广美,松野井雅",简介：充满诱惑的繁华大都市，魔兽横行其间，为非作歹。魔戒法师赤座（斎藤洋介 饰）、Shiguto（倉貫匡弘 饰）、烈花（松山メアリ 饰）奔波在城市各个阴暗角落，与邪恶...详情
57,永不退缩2,"迈克尔·加·怀特,罗斯·布莱克维尔,迪恩·盖耶,亚历克斯·梅拉兹,吉莲","简介：本片是好莱坞动作巨星迈克尔·加·怀特的首部自导自演的以MMA为题材的电影,也是迈克尔·加·怀特第一部导演作品,本片也是2008年上映的那部永不退缩的续集 .永不...详情"
58,永不退缩2008,"肖恩·法瑞斯,艾梅柏·希尔德,凯姆·吉甘戴,埃文·彼得斯,莱斯利·霍普,杰曼·翰苏,艾菲恩·克洛科特,小尼尔·布朗,蒂尔基·琼斯,怀亚特史密斯,劳伦丽琪,史蒂文克劳利,克里斯琳赛",简介：杰克·泰勒（肖恩·法瑞斯 Sean Faris 饰）把父亲的意外身亡归绺为自己的过错，不仅情绪变得难以控制而且与母亲关系变得非常紧张。相对于少年得志的网球明星弟...详情
59,廉政第一击,"狄龙,张曼玉,李子雄,任达华,刘锡明,许志安,八两金,张凤妮",简介：香港七十年代初期，当时还没有成立廉政公署，贪污情况泛滥成灾，民不聊生。警局沙展王一冲（狄龙 饰）为人正直不阿，不肯同流合污，因此而不容于其他同僚，在警局受到排挤...详情
60,死神倒计时,"Aleksey,Makarov,路易丝·隆巴德,Vyacheslav,Razbegaev",简介：俄罗斯电影明星阿里克谢·马卡罗夫在《倒计时》中扮演男主角——俄罗斯联邦安全局少校斯莫林。《倒计时》讲述斯莫林被恐怖分子俘获的故事，他在西方记者(由英国女演员路易...详情
61,红带高手,"切瓦特·埃加福,艾莉丝·布拉加,何塞·巴勃罗·坎蒂略,艾米莉·莫迪默,Cyril,Takayama,Ricky,Jay,罗德里戈·桑托罗",简介：故事发生在车水马龙的繁华大都市洛杉矶西区，一帮“武林高手”聚集于此，经常相互切磋技艺。其中，有一个十分不起眼的男人，他的名字叫麦克（切瓦特·埃加福特 Chiwe...详情
62,极道兵器,"坂口拓,村上淳,黑川芽以,鹤见辰吾",简介：在西日本执牛耳的黑帮老大岩鬼（磨赤儿 饰）被人杀害，而他那狂暴孔武的儿子将造（坂口拓 饰）还在美洲的丛林中过着危险而残酷的佣兵生活。得知父亲的死讯，将造和随从回...详情
